,Unnamed: 0,fecha,prediccion_trx,canal,file_date,y_mobile,y_access,mes_año,model,perc_error,SLA,SLA_over
148,5,2021-01-05 00:00:00,873858,AB,2021-01-04 15:39:52,522870.0,1073046.0,20211,AB_3,0.18562857510302447,False,False
149,4,2021-01-04 00:00:00,1555953,AB,2021-01-04 15:39:52,480427.0,2077044.0,20211,AB_3,0.25088105981385084,False,False
150,3,2021-01-03 00:00:00,228408,AB,2021-01-04 15:39:52,199284.0,126317.0,20211,AB_3,-0.8082126712952334,False,True
151,2,2021-01-02 00:00:00,275904,AB,2021-01-04 15:39:52,222506.0,120125.0,20211,AB_3,-1.2968074921956296,False,True
152,3,2020-12-21 00:00:00,1059510,AB,2020-12-23 16:22:12,385488.0,1289929.0,202012,AB_3,0.17862921137519971,False,False
153,6,2020-12-24 00:00:00,600044,AB,2020-12-23 16:22:12,197862.0,101361.0,202012,AB_3,-4.919870561655864,False,True
154,5,2020-12-23 00:00:00,496452,AB,2020-12-23 16:22:12,348967.0,669589.0,202012,AB_3,0.25857204942136147,False,False
155,4,2020-12-22 00:00:00,717943,AB,2020-12-23 16:22:12,381192.0,788362.0,202012,AB_3,0.08932317894571276,True,True
156,9,2020-12-17 00:00:00,303042,MB,2020-12-23 16:22:12,349445.0,730337.0,202012,MB_3,0.13279056790052798,False,False
157,2,2020-12-18 00:00:00,762219,AB,2020-12-23 16:22:12,516775.0,1109693.0,202012,AB_3,0.3131262430239715,False,False
158,1,2020-12-17 00:00:00,741921,AB,2020-12-23 16:22:12,349445.0,730337.0,202012,AB_3,-0.01586117093889533,True,True
159,0,2020-12-16 00:00:00,795268,AB,2020-12-23 16:22:12,319316.0,725451.0,202012,AB_3,-0.09623944277421907,True,True
160,8,2020-12-16 00:00:00,315418,MB,2020-12-23 16:22:12,319316.0,725451.0,202012,MB_3,0.012207343196081624,True,True
161,7,2020-12-25 00:00:00,-17805,AB,2020-12-23 16:22:12,109104.0,47395.0,202012,AB_3,1.3756725392973943,False,False
162,15,2020-12-25 00:00:00,160513,MB,2020-12-23 16:22:12,109104.0,47395.0,202012,MB_3,-0.47119262355184044,False,True
163,11,2020-12-21 00:00:00,287679,MB,2020-12-23 16:22:12,385488.0,1289929.0,202012,MB_3,0.25372774249782093,False,False
164,12,2020-12-22 00:00:00,299393,MB,2020-12-23 16:22:12,381192.0,788362.0,202012,MB_3,0.21458739952569833,False,False
165,13,2020-12-23 00:00:00,280536,MB,2020-12-23 16:22:12,348967.0,669589.0,202012,MB_3,0.1960959059166053,False,False
166,14,2020-12-24 00:00:00,277952,MB,2020-12-23 16:22:12,197862.0,101361.0,202012,MB_3,-0.40477706684456843,False,True
167,10,2020-12-18 00:00:00,315226,MB,2020-12-23 16:22:12,516775.0,1109693.0,202012,MB_3,0.3900130617773693,False,False
168,26,2020-11-26 00:00:00,633954,AB,2020-12-17 17:08:35,244733.0,539614.0,202011,AB_uk,-0.17482867382981168,False,True
169,22,2020-11-20 00:00:00,698910,AB,2020-12-17 17:08:35,299527.0,656406.0,202011,AB_uk,-0.06475260738018848,True,True
170,18,2020-11-16 00:00:00,1193511,AB,2020-12-17 17:08:35,320522.0,1059867.0,202011,AB_uk,-0.12609506664515455,False,True
171,19,2020-11-17 00:00:00,800539,AB,2020-12-17 17:08:35,286419.0,660833.0,202011,AB_uk,-0.2114089338758809,False,True
172,20,2020-11-18 00:00:00,739851,AB,2020-12-17 17:08:35,273857.0,709882.0,202011,AB_uk,-0.0422168754807137,True,True
173,21,2020-11-19 00:00:00,706206,AB,2020-12-17 17:08:35,310968.0,650653.0,202011,AB_uk,-0.08538037940346083,True,True
174,25,2020-11-25 00:00:00,602942,AB,2020-12-17 17:08:35,258965.0,629110.0,202011,AB_uk,0.041595269507717254,True,True
175,23,2020-11-23 00:00:00,298145,AB,2020-12-17 17:08:35,166550.0,99790.0,202011,AB_uk,-1.987724220863814,False,True
176,24,2020-11-24 00:00:00,1149634,AB,2020-12-17 17:08:35,271379.0,1075976.0,202011,AB_uk,-0.06845691725465995,True,True
177,27,2020-11-27 00:00:00,558921,AB,2020-12-17 17:08:35,288994.0,672794.0,202011,AB_uk,0.16925388751980547,False,False
178,16,2020-11-12 00:00:00,867281,AB,2020-12-17 17:08:35,322988.0,782280.0,202011,AB_uk,-0.10865802525949787,False,True
179,17,2020-11-13 00:00:00,870008,AB,2020-12-17 17:08:35,312186.0,737748.0,202011,AB_uk,-0.17927530809978476,False,True
180,62,2020-11-06 00:00:00,243154,MB,2020-12-17 17:08:35,393153.0,329176.0,202011,MB_uk,0.381528310861166,False,False
181,63,2020-11-09 00:00:00,350974,MB,2020-12-17 17:08:35,426523.0,2017673.0,202011,MB_uk,0.17712761093774546,False,False
182,14,2020-11-10 00:00:00,974717,AB,2020-12-17 17:08:35,425753.0,1000174.0,202011,AB_uk,0.025452571252602047,True,True
183,13,2020-11-09 00:00:00,1684364,AB,2020-12-17 17:08:35,426523.0,2017673.0,202011,AB_uk,0.1651947565338883,False,False
184,12,2020-11-06 00:00:00,50551,AB,2020-12-17 17:08:35,393153.0,329176.0,202011,AB_uk,0.846431696113933,False,False
185,11,2020-11-05 00:00:00,1054295,AB,2020-12-17 17:08:35,555769.0,1086286.0,202011,AB_uk,0.029449887046321135,True,True
186,10,2020-11-04 00:00:00,979066,AB,2020-12-17 17:08:35,404782.0,983922.0,202011,AB_uk,0.004935350566406687,True,True
187,9,2020-11-03 00:00:00,1039753,AB,2020-12-17 17:08:35,438880.0,1076626.0,202011,AB_uk,0.03424866202376684,True,True
188,8,2020-11-02 00:00:00,1692745,AB,2020-12-17 17:08:35,441163.0,1547407.0,202011,AB_uk,-0.09392357666728922,True,True
189,7,2020-10-30 00:00:00,841825,AB,2020-12-17 17:08:35,323203.0,765541.0,202010,AB_uk,-0.09964717761687486,True,True
190,29,2020-12-01 00:00:00,1508854,AB,2020-12-17 17:08:35,471700.0,1081816.0,202012,AB_uk,-0.39474180452128643,False,True
191,6,2020-10-29 00:00:00,616925,AB,2020-12-17 17:08:35,272788.0,621702.0,202010,AB_uk,0.007683745588722571,True,True
192,28,2020-11-30 00:00:00,1220600,AB,2020-12-17 17:08:35,353077.0,1161981.0,202011,AB_uk,-0.050447468590278155,True,True
193,15,2020-11-11 00:00:00,914029,AB,2020-12-17 17:08:35,372356.0,818131.0,202011,AB_uk,-0.11721594707937971,False,True
194,30,2020-12-02 00:00:00,1104060,AB,2020-12-17 17:08:35,401740.0,1008887.0,202012,AB_uk,-0.09433464798337178,True,True
195,78,2020-11-30 00:00:00,270631,MB,2020-12-17 17:08:35,353077.0,1161981.0,202011,MB_uk,0.2335071386694687,False,False
197,89,2020-12-15 00:00:00,148940,MB,2020-12-17 17:08:35,333783.0,773947.0,202012,MB_uk,0.553781948151943,False,False
198,88,2020-12-14 00:00:00,103563,MB,2020-12-17 17:08:35,338689.0,1250377.0,202012,MB_uk,0.694223904525981,False,False
199,87,2020-12-11 00:00:00,220253,MB,2020-12-17 17:08:35,387153.0,871640.0,202012,MB_uk,0.4310957166804855,False,False
